starttime	seconds	ctime	dtime	ttime	wait
Thu May 14 14:48:40 2026	1778759320	0	0	0	0
Thu May 14 14:48:40 2026	1778759320	0	0	0	0
Thu May 14 14:48:40 2026	1778759320	0	0	0	0
Thu May 14 14:48:40 2026	1778759320	0	0	0	0
Thu May 14 14:48:40 2026	1778759320	0	0	0	0
Thu May 14 14:48:40 2026	1778759320	0	0	0	0
Thu May 14 14:48:40 2026	1778759320	0	0	0	0
Thu May 14 14:48:40 2026	1778759320	0	0	0	0
Thu May 14 14:48:40 2026	1778759320	0	0	0	0
Thu May 14 14:48:40 2026	1778759320	0	0	0	0
Thu May 14 14:48:40 2026	1778759320	0	0	0	0
Thu May 14 14:48:40 2026	1778759320	0	0	0	0
Thu May 14 14:48:40 2026	1778759320	0	0	0	0
Thu May 14 14:48:40 2026	1778759320	0	0	0	0
Thu May 14 14:48:40 2026	1778759320	0	0	0	0
Thu May 14 14:48:40 2026	1778759320	0	0	0	0
Thu May 14 14:48:40 2026	1778759320	0	0	0	0
Thu May 14 14:48:40 2026	1778759320	0	0	0	0
Thu May 14 14:48:40 2026	1778759320	0	0	0	0
Thu May 14 14:48:40 2026	1778759320	0	0	0	0
Thu May 14 14:48:40 2026	1778759320	0	0	0	0
Thu May 14 14:48:40 2026	1778759320	0	0	0	0
Thu May 14 14:48:40 2026	1778759320	0	0	0	0
Thu May 14 14:48:40 2026	1778759320	0	0	0	0
Thu May 14 14:48:40 2026	1778759320	0	0	0	0
Thu May 14 14:48:40 2026	1778759320	0	0	0	0
Thu May 14 14:48:40 2026	1778759320	0	0	0	0
Thu May 14 14:48:40 2026	1778759320	0	0	0	0
Thu May 14 14:48:40 2026	1778759320	0	0	0	0
Thu May 14 14:48:40 2026	1778759320	0	0	0	0
Thu May 14 14:48:40 2026	1778759320	0	0	0	0
Thu May 14 14:48:40 2026	1778759320	0	0	0	0
Thu May 14 14:48:40 2026	1778759320	0	0	0	0
Thu May 14 14:48:40 2026	1778759320	0	0	0	0
Thu May 14 14:48:40 2026	1778759320	0	0	0	0
Thu May 14 14:48:40 2026	1778759320	0	0	0	0
Thu May 14 14:48:40 2026	1778759320	0	0	0	0
Thu May 14 14:48:40 2026	1778759320	0	0	0	0
Thu May 14 14:48:40 2026	1778759320	0	0	0	0
Thu May 14 14:48:40 2026	1778759320	0	0	0	0
Thu May 14 14:48:40 2026	1778759320	0	0	0	0
Thu May 14 14:48:40 2026	1778759320	0	0	0	0
Thu May 14 14:48:40 2026	1778759320	0	0	0	0
Thu May 14 14:48:40 2026	1778759320	0	0	0	0
Thu May 14 14:48:40 2026	1778759320	0	0	0	0
Thu May 14 14:48:40 2026	1778759320	0	0	0	0
Thu May 14 14:48:40 2026	1778759320	0	0	0	0
Thu May 14 14:48:40 2026	1778759320	0	0	0	0
Thu May 14 14:48:40 2026	1778759320	0	0	0	0
Thu May 14 14:48:40 2026	1778759320	0	0	0	0
Thu May 14 14:48:40 2026	1778759320	0	0	0	0
Thu May 14 14:48:40 2026	1778759320	0	0	0	0
Thu May 14 14:48:40 2026	1778759320	0	0	0	0
Thu May 14 14:48:40 2026	1778759320	0	0	0	0
Thu May 14 14:48:40 2026	1778759320	0	0	0	0
Thu May 14 14:48:40 2026	1778759320	0	0	0	0
Thu May 14 14:48:40 2026	1778759320	0	0	0	0
Thu May 14 14:48:40 2026	1778759320	0	0	0	0
Thu May 14 14:48:40 2026	1778759320	0	0	0	0
Thu May 14 14:48:40 2026	1778759320	0	0	0	0
Thu May 14 14:48:40 2026	1778759320	0	0	0	0
Thu May 14 14:48:40 2026	1778759320	0	0	0	0
Thu May 14 14:48:40 2026	1778759320	0	0	0	0
Thu May 14 14:48:40 2026	1778759320	0	0	0	0
Thu May 14 14:48:40 2026	1778759320	0	0	0	0
Thu May 14 14:48:40 2026	1778759320	0	0	0	0
Thu May 14 14:48:40 2026	1778759320	0	0	0	0
Thu May 14 14:48:40 2026	1778759320	0	0	0	0
Thu May 14 14:48:40 2026	1778759320	0	0	0	0
Thu May 14 14:48:40 2026	1778759320	0	0	0	0
Thu May 14 14:48:40 2026	1778759320	0	0	0	0
Thu May 14 14:48:40 2026	1778759320	0	0	0	0
Thu May 14 14:48:40 2026	1778759320	0	0	0	0
Thu May 14 14:48:40 2026	1778759320	0	0	0	0
Thu May 14 14:48:40 2026	1778759320	0	0	0	0
Thu May 14 14:48:40 2026	1778759320	0	0	0	0
Thu May 14 14:48:40 2026	1778759320	0	0	0	0
Thu May 14 14:48:40 2026	1778759320	0	0	0	0
Thu May 14 14:48:40 2026	1778759320	0	0	0	0
Thu May 14 14:48:40 2026	1778759320	0	0	0	0
Thu May 14 14:48:40 2026	1778759320	0	0	0	0
Thu May 14 14:48:40 2026	1778759320	0	0	0	0
Thu May 14 14:48:40 2026	1778759320	0	0	0	0
Thu May 14 14:48:40 2026	1778759320	0	0	0	0
Thu May 14 14:48:40 2026	1778759320	0	0	0	0
Thu May 14 14:48:40 2026	1778759320	0	0	0	0
Thu May 14 14:48:40 2026	1778759320	0	0	0	0
Thu May 14 14:48:40 2026	1778759320	0	0	0	0
Thu May 14 14:48:40 2026	1778759320	0	0	0	0
Thu May 14 14:48:40 2026	1778759320	0	0	0	0
Thu May 14 14:48:40 2026	1778759320	0	0	0	0
Thu May 14 14:48:40 2026	1778759320	0	0	0	0
Thu May 14 14:48:40 2026	1778759320	0	0	0	0
Thu May 14 14:48:40 2026	1778759320	0	0	0	0
Thu May 14 14:48:40 2026	1778759320	0	0	0	0
Thu May 14 14:48:40 2026	1778759320	0	0	0	0
Thu May 14 14:48:40 2026	1778759320	0	0	0	0
Thu May 14 14:48:40 2026	1778759320	0	0	0	0
Thu May 14 14:48:40 2026	1778759320	0	0	0	0
Thu May 14 14:48:40 2026	1778759320	0	0	0	0
Thu May 14 14:48:40 2026	1778759320	0	0	0	0
Thu May 14 14:48:40 2026	1778759320	0	0	0	0
Thu May 14 14:48:40 2026	1778759320	0	0	0	0
Thu May 14 14:48:40 2026	1778759320	0	0	0	0
Thu May 14 14:48:40 2026	1778759320	0	0	0	0
Thu May 14 14:48:40 2026	1778759320	0	0	0	0
Thu May 14 14:48:40 2026	1778759320	0	0	0	0
Thu May 14 14:48:40 2026	1778759320	0	0	0	0
Thu May 14 14:48:40 2026	1778759320	0	0	0	0
Thu May 14 14:48:40 2026	1778759320	0	0	0	0
Thu May 14 14:48:40 2026	1778759320	0	0	0	0
Thu May 14 14:48:40 2026	1778759320	0	0	0	0
Thu May 14 14:48:40 2026	1778759320	0	0	0	0
Thu May 14 14:48:40 2026	1778759320	0	0	0	0
Thu May 14 14:48:40 2026	1778759320	0	0	0	0
Thu May 14 14:48:40 2026	1778759320	0	0	0	0
Thu May 14 14:48:40 2026	1778759320	0	0	0	0
Thu May 14 14:48:40 2026	1778759320	0	0	0	0
Thu May 14 14:48:40 2026	1778759320	0	0	0	0
Thu May 14 14:48:40 2026	1778759320	0	0	0	0
Thu May 14 14:48:40 2026	1778759320	0	0	0	0
Thu May 14 14:48:40 2026	1778759320	0	0	0	0
Thu May 14 14:48:40 2026	1778759320	0	0	0	0
Thu May 14 14:48:40 2026	1778759320	0	0	0	0
Thu May 14 14:48:40 2026	1778759320	0	0	0	0
Thu May 14 14:48:40 2026	1778759320	0	0	0	0
Thu May 14 14:48:40 2026	1778759320	0	0	0	0
Thu May 14 14:48:40 2026	1778759320	0	0	0	0
Thu May 14 14:48:40 2026	1778759320	0	0	0	0
Thu May 14 14:48:40 2026	1778759320	0	0	0	0
Thu May 14 14:48:40 2026	1778759320	0	0	0	0
Thu May 14 14:48:40 2026	1778759320	0	0	0	0
Thu May 14 14:48:40 2026	1778759320	0	0	0	0
Thu May 14 14:48:40 2026	1778759320	0	0	0	0
Thu May 14 14:48:40 2026	1778759320	0	0	0	0
Thu May 14 14:48:40 2026	1778759320	0	0	0	0
Thu May 14 14:48:40 2026	1778759320	0	0	0	0
Thu May 14 14:48:40 2026	1778759320	0	0	0	0
Thu May 14 14:48:40 2026	1778759320	0	0	0	0
Thu May 14 14:48:40 2026	1778759320	0	0	0	0
Thu May 14 14:48:40 2026	1778759320	0	0	0	0
Thu May 14 14:48:40 2026	1778759320	0	0	0	0
Thu May 14 14:48:40 2026	1778759320	0	0	0	0
Thu May 14 14:48:40 2026	1778759320	0	0	0	0
Thu May 14 14:48:40 2026	1778759320	0	0	0	0
Thu May 14 14:48:40 2026	1778759320	0	0	0	0
Thu May 14 14:48:40 2026	1778759320	0	0	0	0
Thu May 14 14:48:40 2026	1778759320	0	0	0	0
Thu May 14 14:48:40 2026	1778759320	0	0	0	0
Thu May 14 14:48:40 2026	1778759320	0	0	0	0
Thu May 14 14:48:40 2026	1778759320	0	0	0	0
Thu May 14 14:48:40 2026	1778759320	0	0	0	0
Thu May 14 14:48:40 2026	1778759320	0	0	0	0
Thu May 14 14:48:40 2026	1778759320	0	0	0	0
Thu May 14 14:48:40 2026	1778759320	0	0	0	0
Thu May 14 14:48:40 2026	1778759320	0	0	0	0
Thu May 14 14:48:40 2026	1778759320	0	0	0	0
Thu May 14 14:48:40 2026	1778759320	0	0	0	0
Thu May 14 14:48:40 2026	1778759320	0	0	0	0
Thu May 14 14:48:40 2026	1778759320	0	0	0	0
Thu May 14 14:48:40 2026	1778759320	0	0	0	0
Thu May 14 14:48:40 2026	1778759320	0	0	0	0
Thu May 14 14:48:40 2026	1778759320	0	0	0	0
Thu May 14 14:48:40 2026	1778759320	0	0	0	0
Thu May 14 14:48:40 2026	1778759320	0	0	0	0
Thu May 14 14:48:40 2026	1778759320	0	0	0	0
Thu May 14 14:48:40 2026	1778759320	0	0	0	0
Thu May 14 14:48:40 2026	1778759320	0	0	0	0
Thu May 14 14:48:40 2026	1778759320	0	0	0	0
Thu May 14 14:48:40 2026	1778759320	0	0	0	0
Thu May 14 14:48:40 2026	1778759320	0	0	0	0
Thu May 14 14:48:40 2026	1778759320	0	0	0	0
Thu May 14 14:48:40 2026	1778759320	0	0	0	0
Thu May 14 14:48:40 2026	1778759320	0	0	0	0
Thu May 14 14:48:40 2026	1778759320	0	0	0	0
Thu May 14 14:48:40 2026	1778759320	0	0	0	0
Thu May 14 14:48:40 2026	1778759320	0	0	0	0
Thu May 14 14:48:40 2026	1778759320	0	0	0	0
Thu May 14 14:48:40 2026	1778759320	0	0	0	0
Thu May 14 14:48:40 2026	1778759320	0	0	0	0
Thu May 14 14:48:40 2026	1778759320	0	0	0	0
Thu May 14 14:48:40 2026	1778759320	0	0	0	0
Thu May 14 14:48:40 2026	1778759320	0	0	0	0
Thu May 14 14:48:40 2026	1778759320	0	1	1	1
Thu May 14 14:48:40 2026	1778759320	0	1	1	1
Thu May 14 14:48:40 2026	1778759320	0	1	1	1
Thu May 14 14:48:40 2026	1778759320	0	1	1	1
Thu May 14 14:48:40 2026	1778759320	0	1	1	1
Thu May 14 14:48:40 2026	1778759320	0	1	1	1
Thu May 14 14:48:40 2026	1778759320	0	1	1	1
Thu May 14 14:48:40 2026	1778759320	1	0	1	0
Thu May 14 14:48:40 2026	1778759320	0	1	1	1
Thu May 14 14:48:40 2026	1778759320	0	1	1	1
Thu May 14 14:48:40 2026	1778759320	0	1	1	1
Thu May 14 14:48:40 2026	1778759320	0	1	1	1
Thu May 14 14:48:40 2026	1778759320	0	1	1	1
Thu May 14 14:48:40 2026	1778759320	0	1	1	1
Thu May 14 14:48:40 2026	1778759320	0	1	1	1
Thu May 14 14:48:40 2026	1778759320	0	1	1	1
Thu May 14 14:48:40 2026	1778759320	0	1	1	1
Thu May 14 14:48:40 2026	1778759320	0	1	1	1
Thu May 14 14:48:40 2026	1778759320	0	1	1	1
Thu May 14 14:48:40 2026	1778759320	0	1	1	1
Thu May 14 14:48:40 2026	1778759320	0	1	1	1
Thu May 14 14:48:40 2026	1778759320	0	1	1	1
Thu May 14 14:48:40 2026	1778759320	0	1	1	1
Thu May 14 14:48:40 2026	1778759320	0	1	1	1
Thu May 14 14:48:40 2026	1778759320	0	1	1	1
Thu May 14 14:48:40 2026	1778759320	0	1	1	1
Thu May 14 14:48:40 2026	1778759320	0	1	1	1
Thu May 14 14:48:40 2026	1778759320	0	1	1	1
Thu May 14 14:48:40 2026	1778759320	0	1	1	0
Thu May 14 14:48:40 2026	1778759320	0	1	1	1
Thu May 14 14:48:40 2026	1778759320	0	1	1	1
Thu May 14 14:48:40 2026	1778759320	0	1	1	0
Thu May 14 14:48:40 2026	1778759320	0	1	1	0
Thu May 14 14:48:40 2026	1778759320	0	1	1	1
Thu May 14 14:48:40 2026	1778759320	0	1	1	0
Thu May 14 14:48:40 2026	1778759320	0	1	1	1
Thu May 14 14:48:40 2026	1778759320	0	1	1	1
Thu May 14 14:48:40 2026	1778759320	1	0	1	0
Thu May 14 14:48:40 2026	1778759320	0	1	1	1
Thu May 14 14:48:40 2026	1778759320	0	1	1	1
Thu May 14 14:48:40 2026	1778759320	0	1	1	1
Thu May 14 14:48:40 2026	1778759320	0	1	1	1
Thu May 14 14:48:40 2026	1778759320	0	1	1	1
Thu May 14 14:48:40 2026	1778759320	0	1	1	1
Thu May 14 14:48:40 2026	1778759320	0	1	1	1
Thu May 14 14:48:40 2026	1778759320	0	1	1	1
Thu May 14 14:48:40 2026	1778759320	0	1	1	1
Thu May 14 14:48:40 2026	1778759320	0	1	1	1
Thu May 14 14:48:40 2026	1778759320	0	1	1	1
Thu May 14 14:48:40 2026	1778759320	0	1	1	1
Thu May 14 14:48:40 2026	1778759320	0	1	1	1
Thu May 14 14:48:40 2026	1778759320	0	1	1	1
Thu May 14 14:48:40 2026	1778759320	0	1	1	1
Thu May 14 14:48:40 2026	1778759320	0	1	1	1
Thu May 14 14:48:40 2026	1778759320	0	1	1	1
Thu May 14 14:48:40 2026	1778759320	0	2	2	0
Thu May 14 14:48:40 2026	1778759320	0	2	2	2
Thu May 14 14:48:40 2026	1778759320	0	2	2	2
Thu May 14 14:48:40 2026	1778759320	0	2	2	2
Thu May 14 14:48:40 2026	1778759320	0	2	2	0
Thu May 14 14:48:40 2026	1778759320	0	2	2	2
Thu May 14 14:48:40 2026	1778759320	0	2	2	0
Thu May 14 14:48:40 2026	1778759320	0	2	2	0
Thu May 14 14:48:40 2026	1778759320	0	2	2	2
Thu May 14 14:48:40 2026	1778759320	0	2	2	0
Thu May 14 14:48:40 2026	1778759320	0	2	2	2
Thu May 14 14:48:40 2026	1778759320	0	2	2	1
Thu May 14 14:48:40 2026	1778759320	0	2	2	1
Thu May 14 14:48:40 2026	1778759320	0	2	2	1
Thu May 14 14:48:40 2026	1778759320	0	2	2	0
Thu May 14 14:48:40 2026	1778759320	0	2	2	1
Thu May 14 14:48:40 2026	1778759320	0	2	2	2
Thu May 14 14:48:40 2026	1778759320	1	1	2	1
Thu May 14 14:48:40 2026	1778759320	0	2	2	2
Thu May 14 14:48:40 2026	1778759320	0	2	2	2
Thu May 14 14:48:40 2026	1778759320	0	2	2	2
Thu May 14 14:48:40 2026	1778759320	0	2	2	2
Thu May 14 14:48:40 2026	1778759320	0	2	2	2
Thu May 14 14:48:40 2026	1778759320	0	2	2	1
Thu May 14 14:48:40 2026	1778759320	0	2	2	0
Thu May 14 14:48:40 2026	1778759320	0	2	2	0
Thu May 14 14:48:40 2026	1778759320	0	2	2	2
Thu May 14 14:48:40 2026	1778759320	0	2	2	2
Thu May 14 14:48:40 2026	1778759320	0	2	2	2
Thu May 14 14:48:40 2026	1778759320	0	2	2	2
Thu May 14 14:48:40 2026	1778759320	0	2	2	2
Thu May 14 14:48:40 2026	1778759320	0	2	2	2
Thu May 14 14:48:40 2026	1778759320	0	2	2	2
Thu May 14 14:48:40 2026	1778759320	2	0	2	0
Thu May 14 14:48:40 2026	1778759320	0	2	2	0
Thu May 14 14:48:40 2026	1778759320	0	2	2	2
Thu May 14 14:48:40 2026	1778759320	0	2	2	2
Thu May 14 14:48:40 2026	1778759320	0	2	2	1
Thu May 14 14:48:40 2026	1778759320	0	2	2	2
Thu May 14 14:48:40 2026	1778759320	0	2	2	2
Thu May 14 14:48:40 2026	1778759320	0	2	2	2
Thu May 14 14:48:40 2026	1778759320	0	2	2	1
Thu May 14 14:48:40 2026	1778759320	1	1	2	1
Thu May 14 14:48:40 2026	1778759320	0	2	2	2
Thu May 14 14:48:40 2026	1778759320	0	2	2	1
Thu May 14 14:48:40 2026	1778759320	0	2	2	2
Thu May 14 14:48:40 2026	1778759320	1	1	2	1
Thu May 14 14:48:40 2026	1778759320	0	2	2	1
Thu May 14 14:48:40 2026	1778759320	0	2	2	1
Thu May 14 14:48:40 2026	1778759320	0	2	2	1
Thu May 14 14:48:40 2026	1778759320	1	1	2	1
Thu May 14 14:48:40 2026	1778759320	0	2	2	1
Thu May 14 14:48:40 2026	1778759320	0	2	2	2
Thu May 14 14:48:40 2026	1778759320	0	2	2	2
Thu May 14 14:48:40 2026	1778759320	1	1	2	0
Thu May 14 14:48:40 2026	1778759320	0	2	2	1
Thu May 14 14:48:40 2026	1778759320	0	2	2	1
Thu May 14 14:48:40 2026	1778759320	0	2	2	1
Thu May 14 14:48:40 2026	1778759320	0	2	2	1
Thu May 14 14:48:40 2026	1778759320	0	2	2	1
Thu May 14 14:48:40 2026	1778759320	0	2	2	1
Thu May 14 14:48:40 2026	1778759320	0	2	2	1
Thu May 14 14:48:40 2026	1778759320	1	1	2	0
Thu May 14 14:48:40 2026	1778759320	0	2	2	1
Thu May 14 14:48:40 2026	1778759320	0	2	2	2
Thu May 14 14:48:40 2026	1778759320	0	2	2	2
Thu May 14 14:48:40 2026	1778759320	1	1	2	1
Thu May 14 14:48:40 2026	1778759320	0	2	2	2
Thu May 14 14:48:40 2026	1778759320	0	2	2	2
Thu May 14 14:48:40 2026	1778759320	0	2	2	0
Thu May 14 14:48:40 2026	1778759320	2	0	2	0
Thu May 14 14:48:40 2026	1778759320	2	0	2	0
Thu May 14 14:48:40 2026	1778759320	0	2	2	2
Thu May 14 14:48:40 2026	1778759320	0	2	2	2
Thu May 14 14:48:40 2026	1778759320	0	2	2	2
Thu May 14 14:48:40 2026	1778759320	0	2	2	2
Thu May 14 14:48:40 2026	1778759320	0	2	2	2
Thu May 14 14:48:40 2026	1778759320	0	2	2	2
Thu May 14 14:48:40 2026	1778759320	0	2	2	2
Thu May 14 14:48:40 2026	1778759320	0	2	2	2
Thu May 14 14:48:40 2026	1778759320	0	2	2	2
Thu May 14 14:48:40 2026	1778759320	0	2	2	2
Thu May 14 14:48:40 2026	1778759320	2	0	2	0
Thu May 14 14:48:40 2026	1778759320	0	2	2	2
Thu May 14 14:48:40 2026	1778759320	0	2	2	2
Thu May 14 14:48:40 2026	1778759320	0	2	2	2
Thu May 14 14:48:40 2026	1778759320	0	2	2	2
Thu May 14 14:48:40 2026	1778759320	0	2	2	0
Thu May 14 14:48:40 2026	1778759320	0	2	2	0
Thu May 14 14:48:40 2026	1778759320	0	2	2	0
Thu May 14 14:48:40 2026	1778759320	0	2	2	0
Thu May 14 14:48:40 2026	1778759320	0	2	2	0
Thu May 14 14:48:40 2026	1778759320	0	2	2	0
Thu May 14 14:48:40 2026	1778759320	0	2	2	0
Thu May 14 14:48:40 2026	1778759320	0	2	2	2
Thu May 14 14:48:40 2026	1778759320	0	2	2	2
Thu May 14 14:48:40 2026	1778759320	0	2	2	2
Thu May 14 14:48:40 2026	1778759320	0	2	2	2
Thu May 14 14:48:40 2026	1778759320	0	2	2	2
Thu May 14 14:48:40 2026	1778759320	0	2	2	0
Thu May 14 14:48:40 2026	1778759320	0	2	2	2
Thu May 14 14:48:40 2026	1778759320	0	2	2	2
Thu May 14 14:48:40 2026	1778759320	0	2	2	2
Thu May 14 14:48:40 2026	1778759320	0	2	2	2
Thu May 14 14:48:40 2026	1778759320	0	2	2	2
Thu May 14 14:48:40 2026	1778759320	0	2	2	2
Thu May 14 14:48:40 2026	1778759320	0	2	2	1
Thu May 14 14:48:40 2026	1778759320	0	2	2	0
Thu May 14 14:48:40 2026	1778759320	0	2	2	0
Thu May 14 14:48:40 2026	1778759320	0	2	2	0
Thu May 14 14:48:40 2026	1778759320	0	2	2	0
Thu May 14 14:48:40 2026	1778759320	0	2	2	0
Thu May 14 14:48:40 2026	1778759320	0	2	2	2
Thu May 14 14:48:40 2026	1778759320	0	2	2	2
Thu May 14 14:48:40 2026	1778759320	0	2	2	2
Thu May 14 14:48:40 2026	1778759320	0	2	2	2
Thu May 14 14:48:40 2026	1778759320	0	2	2	2
Thu May 14 14:48:40 2026	1778759320	1	1	2	0
Thu May 14 14:48:40 2026	1778759320	0	2	2	1
Thu May 14 14:48:40 2026	1778759320	0	2	2	1
Thu May 14 14:48:40 2026	1778759320	0	2	2	1
Thu May 14 14:48:40 2026	1778759320	0	2	2	1
Thu May 14 14:48:40 2026	1778759320	1	1	2	1
Thu May 14 14:48:40 2026	1778759320	0	2	2	1
Thu May 14 14:48:40 2026	1778759320	0	2	2	2
Thu May 14 14:48:40 2026	1778759320	0	2	2	2
Thu May 14 14:48:40 2026	1778759320	1	1	2	1
Thu May 14 14:48:40 2026	1778759320	0	2	2	2
Thu May 14 14:48:40 2026	1778759320	0	2	2	2
Thu May 14 14:48:40 2026	1778759320	0	2	2	2
Thu May 14 14:48:40 2026	1778759320	0	2	2	2
Thu May 14 14:48:40 2026	1778759320	0	2	2	2
Thu May 14 14:48:40 2026	1778759320	0	2	2	2
Thu May 14 14:48:40 2026	1778759320	0	3	3	2
Thu May 14 14:48:40 2026	1778759320	0	3	3	2
Thu May 14 14:48:40 2026	1778759320	0	3	3	3
Thu May 14 14:48:40 2026	1778759320	1	2	3	0
Thu May 14 14:48:40 2026	1778759320	0	3	3	2
Thu May 14 14:48:40 2026	1778759320	1	2	3	1
Thu May 14 14:48:40 2026	1778759320	0	3	3	2
Thu May 14 14:48:40 2026	1778759320	1	2	3	1
Thu May 14 14:48:40 2026	1778759320	0	3	3	2
Thu May 14 14:48:40 2026	1778759320	0	3	3	2
Thu May 14 14:48:40 2026	1778759320	1	2	3	1
Thu May 14 14:48:40 2026	1778759320	0	3	3	1
Thu May 14 14:48:40 2026	1778759320	0	3	3	3
Thu May 14 14:48:40 2026	1778759320	0	3	3	1
Thu May 14 14:48:40 2026	1778759320	1	2	3	0
Thu May 14 14:48:40 2026	1778759320	0	3	3	3
Thu May 14 14:48:40 2026	1778759320	0	3	3	1
Thu May 14 14:48:40 2026	1778759320	0	3	3	3
Thu May 14 14:48:40 2026	1778759320	1	2	3	2
Thu May 14 14:48:40 2026	1778759320	0	3	3	2
Thu May 14 14:48:40 2026	1778759320	0	3	3	2
Thu May 14 14:48:40 2026	1778759320	2	2	3	0
Thu May 14 14:48:40 2026	1778759320	1	3	3	3
Thu May 14 14:48:40 2026	1778759320	1	3	4	2
Thu May 14 14:48:40 2026	1778759320	0	4	4	1
Thu May 14 14:48:40 2026	1778759320	1	3	4	0
Thu May 14 14:48:40 2026	1778759320	0	4	4	2
Thu May 14 14:48:40 2026	1778759320	0	4	4	4
Thu May 14 14:48:40 2026	1778759320	1	3	4	3
Thu May 14 14:48:40 2026	1778759320	1	3	4	1
Thu May 14 14:48:40 2026	1778759320	0	4	4	2
Thu May 14 14:48:40 2026	1778759320	0	5	5	0
Thu May 14 14:48:40 2026	1778759320	0	5	5	0
Thu May 14 14:48:40 2026	1778759320	0	5	5	0
Thu May 14 14:48:40 2026	1778759320	0	5	5	0
Thu May 14 14:48:40 2026	1778759320	0	5	5	0
Thu May 14 14:48:40 2026	1778759320	0	6	6	0
Thu May 14 14:48:40 2026	1778759320	0	6	6	6
Thu May 14 14:48:40 2026	1778759320	0	6	6	6
Thu May 14 14:48:40 2026	1778759320	0	6	6	6
Thu May 14 14:48:40 2026	1778759320	0	14	14	0
Thu May 14 14:48:40 2026	1778759320	0	14	14	0
